Kutle_kg,Hiz_m_s,Kinetik_Enerji_Joule
187.38,9.64,8706.57
892.67,15.16,102579.21
539.8,5.64,8585.41
807.63,6.36,16334.16
896.2,18.49,153196.47
318.69,1.12,199.88
110.94,9.71,5229.94
228.71,18.26,38129.11
427.68,12.21,31880.14
818.2,10.93,48873.09
860.87,4.99,10717.87
7.95,6.87,187.61
511.24,17.04,74222.23
417.99,11.18,26122.79
222.89,10.29,11800.25
120.75,1.99,239.09
338.28,0.32,17.32
942.97,19.27,175077.89
323.88,7.54,9206.55
519.27,12.06,37762.25
703.32,1.59,889.03
364.27,13.66,33985.59
971.81,18.65,169008.69
962.48,11.51,63754.72
252.53,2.52,801.83
497.75,11.63,33662.06
301.58,15.33,35436.99
285.56,8.13,9437.32
37.85,17.6,5862.21
609.95,12.97,51303.17
503.18,17.98,81334.12
52.43,12.47,4076.46
279.37,2.63,966.19
908.36,6.19,17402.41
240.32,4.04,1961.2
145.75,18.18,24086.09
489.96,15.21,56674.68
985.66,13.53,90217.9
242.81,6.02,4399.77
672.46,3.68,4553.36
761.86,15.13,87201.31
238.4,9.48,10712.55
728.49,4.52,7441.67
368.42,12.33,28005.24
632.67,0.81,207.55
633.9,6.52,13473.67
536.24,9.37,23540.1
91.2,2.96,399.53
835.47,19.69,161954.23
321.46,4.18,2808.34
187.33,2.61,638.06
41.73,4.07,345.63
591.3,15.38,69934.35
677.89,8.51,24546.43
17.57,11.31,1123.74
512.58,0.42,45.21
227.27,0.69,54.1
645.53,8.92,25681.25
175.19,16.33,23358.86
691.25,17.7,108280.86
387.35,1.73,579.65
936.79,10.77,54330.49
138.38,18.26,23069.86
341.73,7.76,10289.08
114.36,16.59,15737.54
924.77,2.67,3296.3
877.46,18.71,153583.62
258.68,15.03,29218.02
660.32,18.83,117064.47
817.4,13.53,74816.99
555.65,7.27,14683.86
530.12,18.76,93284.58
242.61,5.51,3682.83
94.01,6.64,2072.43
897.32,14.02,88188.79
900.52,15.31,105539.19
633.47,18.59,109459.85
339.69,4.1,2855.09
349.86,15.96,44558.45
726.23,14.77,79214.59
897.21,1.28,734.99
887.2,7.74,26575.01
780.1,5.66,12495.49
642.39,6.09,11912.51
85.06,19.66,16438.51
162.47,12.86,13434.61
898.66,14.35,92527.16
606.82,19.53,115726.92
10.19,7.54,289.66
102.37,16.04,13168.96
663.84,8.69,25065.3
6.06,17.39,916.31
161.65,3.61,1053.32
549.19,18.95,98607.75
692.2,4.38,6639.72
652.31,6.52,13864.98
225.05,15.12,25724.84
712.47,7.88,22120.2
238.01,12.16,17596.75
326.07,8.89,12885.0
746.74,14.85,82336.49
649.98,4.57,6787.38
849.37,1.17,581.35
657.96,6.0,11843.28
568.74,9.49,25610.39
94.58,3.36,533.89
368.35,7.1,9284.26
265.94,8.0,8510.08
244.75,1.15,161.84
973.04,11.67,66258.62
393.7,17.69,61601.47
892.15,3.03,4095.37
631.51,11.96,45166.1
795.02,13.29,70209.85
503.13,8.39,17708.19
577.33,14.02,56740.11
493.03,8.21,16616.12
196.05,10.09,9979.74
722.73,0.15,8.13
281.49,13.83,26920.14
25.29,13.23,2213.29
645.83,0.77,191.46
177.93,7.37,4832.3
940.52,19.58,180286.59
953.97,8.41,33736.24
914.95,10.04,46114.21
370.79,18.2,61410.24
16.44,14.35,1692.68
928.39,11.64,62893.59
428.76,15.96,54607.22
966.69,17.29,144493.14
963.66,9.14,40251.89
853.16,9.5,38498.84
295.15,7.72,8795.23
385.71,19.33,72060.06
851.29,13.94,82712.87
317.61,1.66,437.6
170.32,17.26,25369.81
557.24,9.61,25731.14
936.22,1.38,891.47
696.33,10.99,42051.4
570.49,8.34,19840.39
98.08,17.55,15104.44
615.39,4.08,5122.01
990.06,16.53,135262.44
140.94,11.15,8761.01
518.81,1.09,308.2
877.5,19.44,165809.59
741.03,10.25,38927.23
697.32,5.82,11809.95
702.78,9.39,30982.79
360.13,17.16,53022.95
294.3,6.1,5475.45
809.55,3.85,5999.78
810.3,2.58,2696.84
867.21,5.96,15402.34
913.33,15.6,111133.99
511.83,9.43,22757.22
502.01,4.55,5196.43
798.5,3.32,4400.69
650.31,6.65,14379.17
702.26,18.8,124103.39
796.0,6.86,18729.72
890.12,19.76,173777.06
338.66,9.7,15932.26
376.21,3.58,2410.83
94.89,17.82,15066.27
578.7,9.21,24543.85
36.91,14.19,3716.03
466.13,19.67,90174.92
543.1,1.0,271.55
287.25,1.93,534.99
591.24,14.41,61384.93
31.47,5.64,500.52
38.31,3.69,260.82
822.78,0.79,256.75
360.83,0.44,34.93
127.93,15.49,15347.77
522.72,2.69,1891.23
770.22,9.35,33667.28
216.61,12.12,15909.4
623.27,8.57,22888.0
86.26,0.54,12.58
52.63,15.67,6461.62
531.82,0.21,11.73
541.09,15.24,62836.13
637.79,17.87,101834.94
726.37,8.66,27237.28
975.88,10.71,55968.72
516.78,9.54,23516.49
323.63,7.78,9794.4
795.39,17.75,125298.78
271.56,17.88,43408.11
439.53,6.72,9924.24
79.38,12.3,6004.7
26.33,18.54,4525.23
962.69,19.24,178183.14
836.14,10.18,43325.6
696.28,9.06,28576.58
409.54,5.57,6352.97
174.12,19.18,32026.97
157.28,2.86,643.24
250.99,11.6,16886.61
549.68,5.65,8773.58
714.88,5.58,11129.39
660.54,8.1,21669.01
280.65,19.98,56017.8
954.91,1.1,577.72
738.16,11.57,49406.86
554.8,1.65,755.22
612.11,3.09,2922.24
420.18,8.79,16232.41
248.48,10.21,12951.29
356.62,5.18,4784.49
758.09,6.33,15187.92
15.38,1.74,23.28
116.96,6.06,2147.6
46.96,19.33,8773.28
41.69,18.89,7438.17
855.61,6.7,19204.17
703.95,11.42,45903.31
474.7,18.19,78533.44
98.74,0.12,0.71
492.12,16.21,64655.73
474.0,18.97,85287.03
174.03,1.83,291.4
434.42,3.23,2266.13
399.11,19.21,73640.6
616.23,10.75,35606.54
635.46,0.28,24.91
46.26,5.15,613.47
375.24,9.0,15197.22
626.23,13.86,60149.27
503.63,14.66,54118.97
856.63,19.91,169787.54
659.03,5.75,10894.59
163.77,10.76,9480.45
71.5,10.67,4070.1
642.78,8.11,21138.5
27.48,3.38,156.97
586.19,19.55,112021.64
940.29,17.07,136993.15
575.9,9.97,28622.49
388.78,12.06,28272.78
643.64,4.55,6662.48
458.79,10.88,27154.5
546.07,13.9,52753.09
941.52,10.3,49942.93
386.72,19.81,75881.44
961.23,12.23,71886.98
905.45,7.42,24925.41
196.6,15.44,23434.09
70.29,3.41,408.67
101.68,7.69,3006.48
19.2,6.94,462.37
95.35,8.64,3558.92
683.32,15.64,83573.32
72.12,9.68,3378.91
319.66,15.88,40305.03
845.03,11.53,56169.52
24.25,6.84,567.28
814.65,16.2,106898.37
282.57,4.77,3214.64
119.05,4.49,1200.03
697.04,10.09,35482.16
629.31,5.22,8573.85
877.59,0.18,14.22
735.34,12.97,61849.78
803.68,10.22,41971.55
282.75,8.91,11223.49
178.26,19.34,33337.79
750.86,11.42,48962.23
807.03,17.27,120349.52
990.51,2.79,3855.11
413.21,11.38,26756.26
372.65,17.36,56152.69
776.64,11.66,52794.28
341.46,14.36,35206.17
930.83,7.44,25762.4
858.55,1.85,1469.19
429.57,9.16,18021.66
751.12,7.89,23379.4
754.79,17.34,113473.47
104.02,4.88,1238.59
902.65,19.33,168637.09
505.75,19.16,92831.83
826.63,4.95,10127.25
320.73,6.96,7768.34
895.63,17.91,143644.77
389.81,19.33,72826.04
11.83,8.87,465.37
905.48,6.42,18660.31
92.2,10.52,5101.91
319.99,13.76,30293.07
950.11,5.47,14214.07
950.66,14.73,103133.73
573.86,1.03,304.4
632.21,0.99,309.81
449.0,7.73,13414.53
293.92,7.07,7345.78
329.34,6.31,6556.52
672.85,9.82,32442.27
752.62,6.41,15461.86
791.79,3.85,5868.15
789.83,6.19,15131.6
92.11,19.5,17512.41
494.93,8.22,16720.81
58.5,8.89,2311.69
549.98,11.53,36557.42
442.09,19.67,85524.28
887.82,4.83,10355.93
351.56,13.63,32655.86
117.95,14.32,12093.56
143.85,12.15,10617.75
761.75,1.77,1193.24
618.6,13.54,56704.46
102.02,1.28,83.57
85.02,11.92,6040.09
701.27,14.79,76699.34
73.69,4.22,656.15
822.04,16.83,116420.96
706.54,0.61,131.45
82.27,16.88,11720.78
85.75,9.21,3636.83
986.65,4.35,9334.94
374.9,2.68,1346.34
371.27,19.07,67508.93
812.99,1.45,854.66
947.3,3.98,7502.81
986.02,6.96,23882.19
753.62,12.4,57938.31
376.88,10.9,22388.56
84.42,2.51,265.93
777.37,5.79,13030.31
558.85,4.78,6384.41
424.8,4.27,3872.67
906.45,8.22,30623.69
112.09,14.08,11110.72
493.13,4.35,4665.63
12.34,7.33,331.51
469.19,7.82,14346.05
57.25,19.53,10918.17
119.7,19.09,21811.02
118.41,16.0,15156.48
649.56,4.83,7576.76
746.3,1.36,690.18
583.79,6.34,11732.89
962.21,5.34,13719.0
375.5,10.12,19228.3
286.43,15.55,34629.75
868.73,17.17,128054.67
224.37,16.9,32041.16
963.26,7.19,24898.39
13.14,13.74,1240.33
969.91,6.26,19004.22
44.12,1.22,32.83
891.25,14.03,87717.23
528.17,0.2,10.56
992.97,8.18,33221.0
74.72,6.59,1622.47
554.3,13.87,53317.26
969.33,15.32,113752.04
523.57,6.08,9677.25
629.77,16.23,82944.77
696.05,5.88,12032.76
455.09,8.93,18145.55
627.93,14.54,66375.84
584.73,13.86,56163.2
901.26,19.75,175773.86
46.4,4.5,469.8
281.68,13.25,24726.22
950.46,12.19,70617.32
890.37,18.3,149088.0
456.2,3.13,2234.67
620.51,15.04,70180.18
278.1,11.37,17975.95
188.93,5.49,2847.18
464.23,9.49,20904.3
354.0,6.68,7898.16
584.07,11.59,39228.51
78.66,17.78,12433.33
974.42,11.39,63206.78
986.22,12.63,78659.38
698.46,10.37,37555.11
536.56,1.02,279.12
310.22,4.66,3368.31
813.98,9.84,39407.05
685.05,6.2,13166.66
163.45,3.64,1082.82
911.02,10.08,46282.73
822.71,6.46,17166.5
949.85,5.16,12645.16
725.99,9.28,31260.55
613.8,2.67,2187.86
418.82,18.55,72058.5
932.8,17.35,140396.89
866.2,14.15,86716.36
46.17,2.12,103.75
27.34,15.52,3292.7
377.09,16.16,49237.7
810.74,15.36,95638.78
987.29,2.28,2566.16
151.27,12.88,12547.42
594.54,16.69,82806.37
381.51,11.55,25447.19
969.94,12.93,81079.66
842.28,9.17,35413.2
838.49,10.57,46840.11
469.22,0.69,111.7
415.4,12.78,33923.31
274.13,1.63,364.17
57.32,8.7,2169.28
864.86,5.85,14798.84
813.09,10.91,48390.28
999.72,2.67,3563.45
996.64,13.83,95313.12
555.88,15.9,70266.01
769.22,3.27,4112.6
944.82,2.09,2063.53
849.8,2.91,3598.1
248.1,17.54,38164.18
451.09,10.56,25151.33
130.03,9.35,5683.77
954.1,2.13,2164.33
606.57,12.99,51176.34
229.41,17.36,34568.6
672.03,16.56,92146.6
618.51,12.52,48475.84
358.8,1.51,409.05
114.44,2.25,289.68
671.9,0.99,329.26
520.79,5.15,6906.33
772.55,2.71,2836.84
520.64,5.2,7039.05
852.33,7.7,25267.32
552.35,18.86,98235.34
561.38,12.21,41846.42
876.78,16.7,122262.59
404.08,14.21,40796.75
134.88,2.25,341.42
29.75,14.72,3223.09
755.38,5.5,11425.12
620.69,12.78,50688.15
704.38,6.82,16381.2
213.75,19.95,42536.52
137.24,5.27,1905.78
15.53,5.58,241.77
351.24,18.61,60822.84
590.33,0.49,70.87
392.85,13.93,38115.27
438.04,14.51,46112.49
904.25,16.73,126546.58
348.91,19.49,66268.49
514.48,19.51,97915.86
783.87,1.31,672.6
397.15,16.44,53669.58
622.46,12.93,52032.96
862.5,12.95,72321.7
949.57,2.57,3135.91
147.93,13.0,12500.08
926.66,19.65,178902.14
492.62,18.24,81946.75
258.99,8.78,9982.56
459.68,0.8,147.1
980.05,7.25,25756.94
493.13,16.53,67371.64
329.42,14.03,32421.66
633.77,9.19,26762.87
240.91,1.1,145.75
76.79,8.54,2800.21
129.75,9.38,5707.99
128.92,18.57,22228.7
152.75,12.82,12552.41
139.69,6.23,2710.89
641.23,10.51,35415.16
182.7,1.32,159.17
346.32,19.45,65506.86
896.89,7.2,23247.39
474.49,9.56,21682.67
667.89,7.11,16881.62
173.15,13.65,16130.87
193.1,13.24,16924.98
41.83,14.31,4282.89
169.77,5.36,2438.71
279.31,6.31,5560.52
177.83,2.51,560.17
89.61,13.11,7700.73
121.52,0.8,38.89
461.32,11.95,32938.82
207.13,17.39,31319.31
364.91,17.82,57939.02
503.91,8.98,20317.75
690.7,9.19,29166.91
40.27,1.54,47.75
799.61,13.42,72003.44
628.27,16.43,84799.14
82.68,4.89,988.53
873.71,8.43,31045.06
920.95,16.78,129655.21
62.02,17.54,9540.28
277.6,4.86,3278.4
806.4,11.01,48875.94
748.51,3.85,5547.39
185.34,2.04,385.66
210.14,18.22,34879.92
371.1,16.41,49966.41
485.04,15.2,56031.82
618.64,0.98,297.07
369.54,16.87,52584.97
463.07,8.76,17767.44
747.72,6.85,17542.45
37.65,10.93,2248.93
253.18,1.83,423.94
713.64,15.13,81682.13
895.31,11.65,60756.86
512.17,3.73,3562.88
532.58,3.76,3764.7
108.06,3.68,731.7
447.96,1.14,291.08
533.08,11.76,36861.84
243.23,16.81,34365.49
269.97,0.35,16.54
377.91,0.98,181.47
21.05,11.46,1382.27
322.76,16.39,43351.85
212.24,6.53,4525.05
328.17,6.99,8017.21
120.64,11.93,8585.04
890.64,5.48,13373.14
594.0,0.53,83.43
679.42,14.7,73407.93
789.38,12.51,61769.02
498.94,11.62,33684.54
87.83,14.83,9658.18
537.57,13.5,48986.07
587.25,4.12,4984.11
745.69,7.05,18531.33
432.23,2.52,1372.42
128.45,2.6,434.16
284.49,13.52,26001.02
363.72,17.17,53613.95
646.27,19.25,119741.71
571.21,12.57,45126.99
356.74,3.68,2415.56
986.53,2.11,2196.07
606.17,16.26,80131.92
237.99,11.58,15956.8
102.68,12.37,7855.89
153.71,15.63,18775.44
246.71,14.07,24419.96
161.52,16.69,22496.19
187.38,1.12,117.52
285.81,14.95,31939.62
174.2,17.02,25231.16
896.87,5.72,14672.08
81.15,12.81,6658.2
524.99,6.28,10352.38
410.99,19.16,75438.37
982.4,0.67,220.5
112.93,11.6,7597.93
398.46,3.33,2209.24
969.5,14.24,98296.44
865.64,3.52,5362.81
817.25,4.71,9064.98
258.64,9.89,12649.06
171.72,18.3,28753.66
668.97,4.23,5984.91
929.45,2.88,3854.62
557.21,15.18,64199.62
572.04,10.01,28659.23
280.7,18.24,46694.11
769.72,2.93,3303.98
187.86,12.92,15679.4
324.36,4.66,3521.84
426.01,3.14,2100.14
508.1,13.67,47474.04
243.17,11.87,17130.95
115.72,15.1,13192.66
611.01,6.19,11705.76
289.34,8.96,11614.34
581.66,8.11,19128.5
155.21,19.68,30056.6
481.66,5.84,8213.65
533.06,5.9,9277.91
52.77,7.09,1326.32
337.27,11.29,21494.91
135.28,5.05,1724.99
64.31,18.31,10780.16
989.97,5.31,13956.65
323.03,17.92,51866.73
810.06,2.07,1735.51
255.39,13.13,22014.22
681.82,18.14,112179.71
760.47,3.37,4318.29
596.04,19.37,111816.18
472.1,9.06,19375.83
412.43,18.91,73740.03
349.52,13.54,32039.03
929.6,6.03,16900.55
830.79,3.77,5903.97
965.06,6.07,17778.77
125.17,1.86,216.52
731.14,2.88,3032.18
938.4,2.09,2049.51
182.05,8.46,6514.8
67.43,15.91,8534.21
741.38,2.83,2968.82
574.9,2.61,1958.14
841.99,12.87,69732.31
140.63,3.94,1091.54
795.47,1.95,1512.39
202.43,3.34,1129.11
164.49,18.47,28057.13
165.1,16.43,22283.95
814.76,7.08,20420.49
665.53,13.12,57280.3
523.54,10.75,30250.8
359.47,13.54,32951.11
877.32,13.65,81732.23
393.05,12.57,31051.91
816.78,5.32,11558.42
439.7,0.78,133.76
377.57,9.11,15667.66
463.22,17.82,73548.31
302.08,11.39,19594.74
747.86,16.65,103661.81
503.22,19.83,98940.32
232.98,3.27,1245.62
899.67,13.84,86163.91
384.51,13.49,34986.58
544.01,19.6,104493.44
906.57,19.71,176094.02
624.61,13.73,58873.52
117.78,4.87,1396.69
939.89,15.97,119855.2
628.08,2.14,1438.18
335.57,15.61,40884.52
140.13,18.2,23208.33
794.23,7.66,23300.96
620.45,12.61,49329.53
533.93,8.6,19744.73
894.0,8.76,34301.71
788.81,6.21,15209.87
152.52,15.24,17711.96
312.41,18.72,54740.23
249.24,18.82,44139.46
744.2,3.5,4558.23
34.5,17.49,5276.78
570.32,14.75,62040.12
762.7,5.06,9763.93
876.89,1.35,799.07
342.74,5.36,4923.39
821.44,18.24,136645.56
111.52,12.66,8936.97
846.61,14.42,88020.52
128.36,5.14,1695.61
397.89,14.39,41195.96
797.5,0.56,125.05
150.77,7.51,4251.72
230.02,12.54,18085.51
722.53,2.92,3080.29
720.32,16.46,97578.73
641.51,4.7,7085.48
694.25,13.05,59116.26
543.18,8.1,17819.02
252.55,11.92,17941.96
346.35,2.15,800.5
182.42,0.34,10.54
908.54,18.19,150307.09
583.81,5.39,8480.45
401.45,16.39,53921.18
462.54,19.99,92415.52
947.34,4.23,8475.33
154.2,5.3,2165.74
586.64,13.26,51573.75
506.38,19.31,94408.5
611.84,18.32,102673.6
19.09,10.06,965.99
872.25,15.9,110256.76
932.19,2.71,3423.05
565.57,19.55,108081.13
696.95,19.29,129668.98
922.58,3.27,4932.53
707.53,5.99,12693.12
153.39,2.0,306.78
576.71,5.43,8502.12
607.11,16.32,80849.57
424.71,7.57,12168.98
736.71,1.77,1154.02
934.43,6.84,21858.93
925.64,19.63,178341.62
451.39,12.59,35774.49
114.12,8.32,3949.83
984.86,3.33,5460.51
839.06,19.72,163146.16
125.54,16.42,16923.82
920.92,5.63,14595.15
870.03,1.4,852.63
519.32,1.13,331.56
591.68,2.41,1718.27
399.6,11.62,26977.88
55.71,18.58,9616.0
335.86,9.93,16558.72
803.05,16.86,114137.34
5.63,8.92,223.98
334.17,14.17,33548.81
398.77,14.64,42734.11
537.86,3.48,3256.85
919.94,7.22,23977.5
347.0,12.75,28204.59
347.61,1.41,345.54
737.76,7.23,19282.43
452.77,10.7,25918.82
225.38,19.92,44716.11
452.99,9.49,20398.16
141.72,16.32,18873.02
177.21,8.64,6614.33
498.87,15.93,63297.85
419.51,11.91,29753.35
914.93,17.73,143805.45
363.03,8.22,12264.68
581.01,12.09,42462.56
632.63,12.6,50218.17
14.08,8.35,490.85
663.87,2.89,2772.35
178.86,1.87,312.73
961.11,0.33,52.33
149.51,17.47,22815.29
415.21,4.73,4644.73
86.26,4.23,771.72
996.88,14.72,108001.18
502.69,6.4,10295.09
595.79,10.12,30508.74
68.01,3.25,359.18
750.21,19.19,138134.7
210.7,17.03,30553.7
898.16,17.28,134094.57
205.93,8.14,6822.42
191.5,15.25,22267.86
37.51,2.88,155.56
472.59,0.17,6.83
565.28,0.4,45.22
66.64,11.73,4584.6
775.75,9.11,32190.56
453.84,10.36,24355.23
524.87,0.15,5.9
441.32,8.45,15755.68
401.36,14.36,41382.14
560.08,8.85,21933.43
156.09,14.64,16727.35
182.75,4.66,1984.26
861.92,16.26,113940.48
946.17,11.77,65537.84
373.94,4.22,3329.64
271.47,4.73,3036.79
644.36,12.56,50825.05
409.33,16.6,56397.49
26.36,8.31,910.16
157.0,5.17,2098.22
716.26,17.34,107680.95
659.27,13.39,59100.95
28.07,8.96,1126.75
222.75,9.76,10609.32
231.84,4.09,1939.12
672.22,12.54,52853.84
20.69,7.17,531.83
105.0,19.91,20811.43
800.12,9.6,36869.53
179.37,9.72,8473.3
653.09,11.32,41844.26
238.94,18.34,40184.4
100.34,16.02,12875.65
243.93,9.02,9923.12
722.54,14.37,74601.14
855.84,11.72,58778.41
830.39,9.85,40283.26
397.79,3.85,2948.12
668.42,9.28,28781.63
205.78,4.92,2490.6
293.85,18.3,49203.71
896.44,6.71,20180.7
13.99,19.05,2538.5
86.42,10.66,4910.19
208.68,12.63,16643.99
27.51,10.86,1622.26
182.25,2.59,611.28
583.46,7.52,16497.45
422.0,1.98,827.2
892.78,12.46,69302.76
817.63,8.94,32673.97
342.48,15.56,41459.53
260.16,4.41,2529.81
380.31,3.29,2058.26
590.7,8.13,19521.72
268.8,18.53,46147.7
624.52,14.21,63052.82
410.0,8.38,14396.0
552.5,10.35,29592.59
436.69,1.68,616.26
295.17,19.69,57218.13
948.5,13.33,84268.96
763.84,5.71,12452.16
140.97,11.72,9681.71
868.6,2.19,2082.95
487.94,19.32,91064.83
894.66,3.5,5479.79
800.06,12.96,67189.68
425.79,4.91,5132.49
23.45,14.35,2414.44
269.41,15.54,32530.13
542.09,13.47,49178.65
633.84,12.29,47868.9
258.63,17.85,41202.67
140.22,1.57,172.81
835.1,6.62,18298.88
984.42,4.97,12158.03
526.16,19.76,102721.59
172.51,7.79,5234.31
273.04,14.65,29300.26
19.37,13.69,1815.12
914.38,4.24,8219.18
118.63,4.78,1355.25
576.94,5.63,9143.6
274.78,8.22,9283.22
554.62,4.69,6099.74
651.77,0.39,49.57
829.91,17.59,128390.44
207.21,19.31,38631.83
11.98,6.83,279.43
137.75,6.77,3156.74
900.12,0.14,8.82
874.02,13.61,80948.28
597.82,16.51,81476.92
600.92,2.93,2579.42
665.37,3.19,3385.44
176.2,15.8,21993.28
914.5,12.33,69515.21
419.35,0.9,169.84
383.76,12.45,29741.88
519.4,6.18,9918.57
47.92,7.37,1301.43
167.12,15.39,19791.36
738.3,16.22,97119.08
83.72,8.01,2685.74
603.55,18.94,108253.81
246.1,8.13,8133.22
389.91,15.44,46476.02
289.41,9.68,13559.21
356.32,17.95,57403.6
719.33,18.16,118612.34
297.82,1.75,456.04
566.84,18.73,99427.39
476.57,16.51,64951.75
664.01,15.83,83196.77
936.89,4.02,7570.26
732.84,16.1,94979.73
215.73,17.0,31172.98
32.15,5.78,537.04
263.0,19.05,47721.68
595.48,1.0,297.74
52.37,3.0,235.66
496.87,10.75,28709.77
597.25,11.52,39630.64
334.91,12.9,27866.19
771.14,0.34,44.57
107.49,19.21,19833.2
76.06,0.89,30.12
728.46,2.86,2979.26
496.0,0.28,19.44
688.71,11.34,44282.54
435.39,18.65,75719.22
247.16,13.32,21925.86
819.28,16.45,110849.61
799.62,0.27,29.15
695.0,10.84,40833.2
272.87,9.19,11522.77
590.64,9.98,29413.99
361.61,1.44,374.92
92.49,13.69,8667.06
917.4,10.06,46422.09
137.68,15.3,16114.76
950.29,9.71,44798.62
446.56,2.99,1996.15
185.95,12.97,15640.34
542.36,3.45,3227.72
873.07,17.45,132926.0
732.49,12.26,55049.41
806.75,3.14,3977.12
659.12,19.25,122122.58
692.58,10.37,37238.95
849.35,1.46,905.24
250.42,12.54,19689.47
489.94,5.06,6272.11
221.99,16.07,28663.89
987.68,16.36,132176.08
944.12,19.58,180976.66
40.39,10.04,2035.69
705.87,9.1,29226.55
925.32,15.07,105072.35
181.39,2.65,636.91
568.38,10.94,34012.88
915.57,10.92,54589.21
34.91,1.79,55.93
697.72,8.36,24381.69
298.05,17.07,43423.63
924.47,17.12,135478.49
971.09,1.98,1903.53
944.32,1.81,1546.84
474.74,5.25,6542.51
862.18,17.5,132021.31
844.7,2.58,2811.33
319.78,14.4,33154.79
829.09,2.02,1691.51
37.97,12.46,2947.45
596.67,7.12,15123.91
230.78,15.78,28733.08
121.45,4.67,1324.35
77.88,12.78,6360.01
696.59,4.71,7726.61
340.54,14.27,34672.57
725.04,17.47,110641.43
66.29,2.54,213.84
315.98,17.33,47448.96
539.95,11.87,38038.64
790.93,2.54,2551.38
319.43,8.55,11675.57
626.27,3.22,3246.71
886.09,14.01,86960.92
616.25,15.18,71001.98
233.73,2.12,525.24
25.38,10.12,1299.64
870.23,16.29,115463.9
22.25,18.72,3898.63
874.83,10.27,46135.43
529.41,19.01,95659.12
939.13,10.71,53861.03
798.98,7.88,24806.09
997.94,16.96,143524.53
351.36,9.86,17079.54
767.42,9.44,34193.78
402.53,9.81,19368.96
480.4,16.94,68928.66
627.88,16.64,86926.72
873.8,8.07,28453.07
984.1,6.67,21890.76
768.51,9.84,37205.72
418.35,11.46,27471.29
421.94,4.77,4800.18
737.84,15.88,93032.18
239.54,9.73,11338.97
111.36,6.68,2484.58
355.27,2.14,813.5
287.95,4.78,3289.6
297.01,18.99,53553.89
234.37,6.1,4360.45
43.05,3.38,245.91
18.86,9.21,799.89
987.73,6.14,18618.51
428.35,0.7,104.95
384.94,6.46,8032.08
679.97,10.88,40245.52
219.04,11.03,13324.3
950.01,7.13,24147.78
786.56,8.95,31502.71
90.32,19.31,16839.08
418.16,7.55,11918.08
879.24,5.16,11705.15
